GitHub Repo,Stars,domain_description,domain_topics,suggested_domain,manual_classification,notes
geomstats/geomstats,1405,Computations and statistics on manifolds with geometric structures.,"deep-learning, geodesic, geometry, gpu-programming, lie-groups, machine-learning, manifold, neural-networks, riemannian-geometry, statistics",Unknown,ML Frameworks / Libraries,"geometric ML, math library"
wandb/examples,1181,Example deep learning projects that use wandb's features.,,Unknown,Data Science / Traditional ML,Includes examples of deep learning projects
Calamari-OCR/calamari,1166,Line based ATR Engine based on OCRopy,,Computer Vision,Computer Vision,
guildai/guildai,889,"Experiment tracking, ML developer tools",,Unknown,MLOps / Deployment,tool to optimize ML experiments
mittagessen/kraken,888,OCR engine for all the languages,"alto-xml, handwritten-text-recognition, hocr, htr, layout-analysis, neural-networks, ocr, optical-character-recognition, page-xml",Computer Vision,Computer Vision,handwritten text recognition
RussTedrake/underactuated,870,The course text for MIT 6.832 (and 6.832x on edX),,Unknown,Domain-Specific Applications,robotics 
tensorflow/data-validation,773,Library for exploring and validating machine learning data,,ML Frameworks / Libraries,ML Frameworks / Libraries,
flatironinstitute/CaImAn,688,"Computational toolbox for large scale Calcium Imaging Analysis, including movie handling, motion correction, source extraction, spike deconvolution and result visualization.","2-photon, calcium-imaging, cnmf, deconvolution, motion-correction, source-extraction",Computer Vision,Computer Vision,
analyticalmindsltd/smote_variants,673,A collection of 85 minority oversampling techniques (SMOTE) for imbalanced learning with multi-class oversampling and model selection features,"imbalanced-data, imbalanced-learning, oversampling, smote",Data Science / Traditional ML,Data Science / Traditional ML,
google/ml-metadata,660,For recording and retrieving metadata associated with ML developer and data scientist workflows.,,MLOps / Deployment,MLOps / Deployment,
masa-su/pixyz,499,"A library for developing deep generative models in a more concise, intuitive and extendable way",,Natural Language Processing,ML Frameworks / Libraries,library for generative modeling
nanoporetech/medaka,482,Sequence correction provided by ONT Research,"medaka, nanopore",Unknown,Domain-Specific Applications,Bio-informatics / genetics
calico/basenji,452,Sequential regulatory activity predictions with deep convolutional neural networks.,,Unknown,Domain-Specific Applications,Genomics / bioinformatics
avrae/avrae,439,A Discord bot to streamline running D&D 5e.,"avrae, ddb, discord-bot, dnd5e, dungeons-and-dragons, hacktoberfest",Unknown,Domain-Specific Applications,discord bot app
GoogleCloudPlatform/healthcare,386,,,Unknown,Domain-Specific Applications,healthcare
brainiak/brainiak,358,Brain Imaging Analysis Kit,"distributed, fmri, machine-learning, neuroimaging, neuroscience",Domain-Specific Applications,Domain-Specific Applications,
cornell-zhang/heterocl,341,HeteroCL: A Multi-Paradigm Programming Infrastructure for Software-Defined Heterogeneous Computing (FPGA'19 Best Paper),"accelerators, compiler, dsl, fpga, fpga-programming, high-level-synthesis, python",ML Frameworks / Libraries,ML Frameworks / Libraries,
beringresearch/ivis,338,Dimensionality reduction in very large datasets using Siamese Networks,"data-visualization, dimensionality-reduction, machine-learning, neural-network, siamese-neural-network",Computer Vision,Data Science / Traditional ML,dimensionality reduction tool
MarkUsProject/Markus,267,Git repository of MarkUs,,Unknown,Domain-Specific Applications, programming grading tool / educational
kipoi/kipoi,238,Kipoi's model zoo API,,Unknown,Domain-Specific Applications,Genomics / bioinformatics
sisl/NeuralVerification.jl,232,Methods to soundly verify deep neural networks,,Unknown,Domain-Specific Applications,tool to verify neural network models
geyang/ml_logger,200,"A logger, server and visualization dashboard for ML projects",,Computer Vision,Computer Vision,
michaelhush/M-LOOP,167,M-LOOP: Machine-learning online optimization package,,Unknown,Data Science / Traditional ML,optimization
